               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10313,             0.04548,                   0,            0.028761,             0.10909,            0.016489,           0.0047261,            0.085614,            0.025552,                   0,            0.070129,            0.003319,            0.003319
                   1,            0.080419,            0.045051,                   0,             0.19837,             0.19646,            0.097471,            0.024443,             0.07015,            0.024043,                   0,            0.039997,           0.0065206,           0.0065206
                   2,            0.069676,            0.040163,                   0,             0.31562,             0.27392,             0.23441,            0.092055,            0.061926,            0.022088,                   0,           0.0097333,           0.0095903,           0.0095903
                   3,            0.061404,            0.035974,                   0,             0.40419,             0.36593,             0.34617,             0.14338,            0.058049,            0.020541,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.059192,            0.038104,                   0,             0.38598,             0.37273,             0.30653,            0.093501,            0.058188,             0.01955,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.054739,            0.035084,                   0,             0.48317,             0.46364,             0.39972,             0.13973,            0.053054,            0.020412,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.051609,            0.033649,                   0,             0.68664,             0.52121,             0.59968,              0.2785,            0.043935,            0.019604,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.048209,            0.034817,                   0,             0.65018,             0.59394,              0.6326,             0.29075,            0.043338,            0.019137,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.044109,            0.033569,                   0,             0.65835,             0.59697,             0.64483,             0.31903,            0.040479,            0.019513,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.044137,             0.03323,                   0,             0.73092,             0.55975,             0.64486,             0.29701,            0.042408,             0.01924,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.042033,            0.032212,                   0,             0.70684,             0.55758,             0.63846,             0.32518,            0.038113,            0.019209,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.041077,            0.031274,                   0,             0.63263,             0.57879,             0.62669,              0.3158,            0.039538,            0.019663,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.041357,            0.032496,                   0,             0.73602,             0.54918,             0.65069,             0.34232,            0.038651,            0.019729,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.038827,            0.029626,                   0,             0.74007,             0.62121,             0.70315,             0.36548,            0.037596,            0.018831,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.038831,            0.030563,                   0,             0.75706,             0.57879,             0.69637,             0.36283,            0.037545,              0.0187,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.037613,            0.029985,                   0,              0.7035,             0.63271,             0.67769,             0.35639,            0.036934,            0.018861,                   0,            0.007228,            0.007228,            0.007228
                  16,             0.03804,            0.029962,                   0,             0.71506,             0.63939,             0.70421,             0.35747,            0.035945,            0.018522,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.036082,            0.028839,                   0,             0.70697,             0.66364,             0.71435,              0.3653,            0.036398,            0.018304,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.036696,            0.030314,                   0,             0.74426,             0.64848,             0.73009,             0.40539,            0.035715,            0.018192,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.034865,            0.029432,                   0,              0.7272,             0.68485,             0.72381,             0.39623,            0.035756,            0.018302,                   0,            0.006436,            0.006436,            0.006436
